0;0;Você gosta de viver o momento, os imprevistos do dia a dia lhe trazem motivação para resolver todos esses possíveis problemas.
1;0;Alterações nos planos não lhe incomodam.
2;0;Viagens de última hora são mais excitantes do que viagens planejadas.
3;0;Seu futuro é determinado pelas ações e escolhas que você faz no presente.
4;0;Você se vê como uma pessoa apta e flexível para tomar decisões instantâneas quando um plano sai do controle.
5;1;Quando algum fato é exposto por alguém, você o questiona para que apresente argumentos que comprovem a veracidade do assunto.
6;1;As informações só têm validade se possuírem dados que as corroborem .
7;1;A precisão é extremamente relevante na realização de suas tarefas.
8;1;Suas decisões são tomadas após a análise lógica de todos os fatores envolvidos na questão.
9;1;Você submete as informações a um detalhamento lógico, buscando encontrar padrões nos dados provenientes de tais informações.
10;2;Você sempre fica ansioso para iniciar uma atividade.
11;2;A falta de dados de uma determinada informação não o impede de tomar uma decisão.
12;2;Seu aprendizado se dá através dos resultados de uma ação realizada, pois é errando que se aprende.
13;2;Você gosta da responsabilidade de iniciar e organizar projetos.
14;2;As pessoas sempre são julgadas pelo que fazem e não pelo que pensam e dizem.
15;3;A decisão final é sempre sua. Ninguém é capaz de decidir por você.
16;3;Numa conversa, você mantém a sua opinião e não se deixa influenciar pela argumentação alheia.
17;3;Você não volta atrás quando toma uma decisão. Ela é definitiva.
18;3;Você não gosta de ser controlado, pelo contrário, a liberdade para tomar decisões é essencial.
19;3;Ações devem ser realizadas conforme o planejado, independentemente das pressões que forem surgindo.
20;4;Conhecer pessoas é uma atividade que lhe proporciona muito prazer.
21;4;Você não se intimida ao ter que começar uma conversa com estranhos.
22;4;Ter conexões com diversas pessoas é muito importante para você.
23;4;Sempre é motivador conquistar as pessoas e fazer com que elas gostem de você.
24;4;Você consegue deixar as pessoas à vontade ao seu lado, simplesmente pelo seu jeito de ser.
25;5;Você tende a impor seus pontos de vista a outras pessoas quando possui uma opinião formada.
26;5;Fatos e verdades devem ser expostos sempre, mesmo sendo desagradáveis.
27;5;Você se sente confortável ao tomar o controle e a liderança de uma situação.  Você sempre toma a frente nas ações.
28;5;Clareza é essencial para a resolução de problemas. As coisas só vão para frente caso todos saibam o que de fato está acontecendo.
29;5;Em esportes coletivos, você sempre se vê expondo o que cada um da equipe deve fazer.
30;6;Fazer o seu melhor não é o suficiente. Você deve estar entre os melhores e, se possível, ser o melhor.
31;6;Pessoas competitivas lhe atraem, pois os seus feitos servem de parâmetro para a realização do melhor.
32;6;Numa disputa, só a vitória interessa. Perder é uma possibilidade, mas está fora de cogitação.
33;6;O importante é competir. Fico feliz, independente do resultado, pois sei que fiz o meu melhor.
34;6;Você evita, na medida do possível, entrar em competições nas quais enxergue a impossibilidade da vitória.
35;7;Ser palestrante num evento é algo que não lhe preocupa. Você gosta de expor suas ideias e entreter as pessoas.
36;7;Você não sente dificuldades em conduzir uma conversa. Pelo contrário, isto te agrada.
37;7;Você gosta de contar histórias sobre sua vida e se sente muito bem quando os outros se mostram interessados por elas.
38;7;Numa apresentação você tende a usar frases que contenham os elementos necessários para prender a atenção das pessoas.
39;7;Você gosta de explicar e descrever acontecimentos de forma fácil, usando imagens, exemplos e metáforas.
40;8;As coisas não acontecem por acaso. Sempre há uma razão para as coisas acontecerem.
41;8;Somos indivíduos que possuem livre-arbítrio, todavia, fazemos parte de algo muito maior que nossa liberdade de escolha.
42;8;As questões sociais fazem parte do seu cotidiano.
43;8;Sempre que alguém precisa de ajuda, você é atencioso e compreensivo.
44;8;Todos estamos conectados por algo muito maior que nossas vontades. Sendo assim, nossas ações - más ou boas - sempre se refletirão sobre nós mesmos.
45;9;Sempre que há a necessidade de solucionar um problema, você busca respostas no passado, evitando cometer os erros de outrora.
46;9;Para o início de um relacionamento é fundamental conhecer o passado das pessoas.
47;9;Estudos de casos são sempre úteis, pois evidenciam o resultado de uma ação e como ela foi executada.
